TI,TE,TR,resitor,ventoinha,data,hora
51.24,22.15,55,98.5,-43.51,2021-03-21,15:51:52
51.08,27.58,55,99.69,-43.51,2021-03-21,15:51:54
51.47,27.58,55,98.55,-43.51,2021-03-21,15:51:56
52.01,27.58,55,97.99,-43.51,2021-03-21,15:51:58
52.53,27.59,55,98.04,-43.51,2021-03-21,15:52:00
51.88,27.6,55,100,-43.51,2021-03-21,15:52:02
52.05,27.61,55,100,-43.51,2021-03-21,15:52:04
52.3,27.61,55,100,-43.51,2021-03-21,15:52:06
52.21,27.62,55,100,-43.51,2021-03-21,15:52:08
52.63,27.61,55,100,-43.51,2021-03-21,15:52:10
53.72,27.62,55,100,-43.51,2021-03-21,15:52:12
53.24,27.61,55,100,-43.51,2021-03-21,15:52:14
53.4,27.58,55,100,-43.51,2021-03-21,15:52:16
53.4,27.57,55,100,-43.51,2021-03-21,15:52:18
